Recall,Precision,Threshold
1.0,0.0001006218429896762,4.8246365002884133e-17
1.0,0.0001006238679814852,4.922550544396416e-17
1.0,0.00010062589305480087,4.935473805172334e-17
1.0,0.00010062791820962808,4.949181514707411e-17
1.0,0.00010062994344597178,5.048285194249362e-17
1.0,0.0001006319687638369,5.0689604832046165e-17
1.0,0.00010063399416322834,5.075502744712543e-17
1.0,0.00010063601964415103,5.0760587226378914e-17
1.0,0.00010063804520660991,5.166916504146188e-17
1.0,0.00010064007085060988,5.28549809890481e-17
1.0,0.00010064209657615588,5.4345059243727524e-17
1.0,0.00010064412238325282,5.4362761816057416e-17
1.0,0.00010064614827190563,5.4966945250053534e-17
1.0,0.00010064817424211924,5.518295071705264e-17
1.0,0.00010065020029389858,5.584330583194114e-17
1.0,0.00010065222642724857,5.620961457706346e-17
1.0,0.00010065425264217414,5.631219495709176e-17
1.0,0.0001006562789386802,5.717385875397735e-17
1.0,0.00010065830531677169,5.817575658678924e-17
1.0,0.00010066033177645353,5.85447177061607e-17
1.0,0.00010066235831773066,5.930881057503619e-17
1.0,0.00010066438494060802,5.956447157066095e-17
1.0,0.00010066641164509049,6.054174108993299e-17
1.0,0.00010066843843118306,6.061701543219095e-17
1.0,0.00010067046529889061,6.074935699963992e-17
1.0,0.0001006724922482181,6.163684438134019e-17
1.0,0.00010067451927917044,6.194420867156288e-17
1.0,0.00010067654639175257,6.417214533853772e-17
1.0,0.00010067857358596944,6.567005873447236e-17
1.0,0.00010068060086182594,6.669408841774816e-17
1.0,0.00010068262821932703,6.718644153035884e-17
1.0,0.00010068465565847765,6.787759425204593e-17
1.0,0.00010068668317928271,6.827144549178599e-17
1.0,0.00010068871078174715,6.841460562549815e-17
1.0,0.0001006907384658759,6.936903577291843e-17
1.0,0.00010069276623167391,6.940857558021308e-17
1.0,0.0001006947940791461,6.989386892701052e-17
1.0,0.00010069682200829742,7.030024597257729e-17
1.0,0.00010069885001913278,7.067672155798287e-17
1.0,0.00010070087811165714,7.127489839119056e-17
1.0,0.0001007029062858754,7.178850858707996e-17
1.0,0.00010070493454179255,7.260221022238723e-17
1.0,0.00010070696287941348,7.505464912869569e-17
1.0,0.00010070899129874315,7.524359567760509e-17
1.0,0.00010071101979978649,7.601544984762077e-17
1.0,0.00010071304838254844,7.624823540358315e-17
1.0,0.00010071507704703394,7.69241094267169e-17
1.0,0.00010071710579324792,7.744249466835373e-17
1.0,0.00010071913462119533,7.769699808877639e-17
1.0,0.00010072116353088111,7.780028072488706e-17
1.0,0.00010072319252231019,7.795915094760794e-17
1.0,0.0001007252215954875,7.95090515760067e-17
1.0,0.00010072725075041801,7.995948537820159e-17
1.0,0.00010072927998710665,8.050896183300778e-17
1.0,0.00010073130930555835,8.123182534520407e-17
1.0,0.00010073333870577806,8.232771250140907e-17
1.0,0.00010073536818777072,8.352753040850039e-17
1.0,0.00010073739775154128,8.45674730118318e-17
1.0,0.00010073942739709467,8.624860941074061e-17
1.0,0.00010074145712443584,8.690124232194766e-17
1.0,0.00010074348693356974,8.788058431329705e-17
1.0,0.00010074551682450131,8.847377997167628e-17
1.0,0.00010074754679723549,8.994773998496579e-17
1.0,0.00010074957685177722,9.016502261947877e-17
1.0,0.00010075160698813145,9.108936315173238e-17
1.0,0.00010075363720630315,9.204982306919445e-17
1.0,0.00010075566750629723,9.605438601625833e-17
1.0,0.00010075769788811866,9.692073737455339e-17
1.0,0.00010075972835177237,9.825977639912036e-17
1.0,0.00010076175889726332,9.862035465902324e-17
1.0,0.00010076378952459644,9.871660373893097e-17
1.0,0.00010076582023377671,9.92490928463927e-17
1.0,0.00010076785102480905,9.956948667172825e-17
1.0,0.00010076988189769842,1.0036195115891097e-16
1.0,0.00010077191285244976,1.0053065022687903e-16
1.0,0.00010077394388906804,1.0084435083416205e-16
1.0,0.0001007759750075582,1.0164401445595883e-16
1.0,0.00010077800620792518,1.0240430214343195e-16
1.0,0.00010078003749017395,1.0397836812865605e-16
1.0,0.00010078206885430945,1.0422908367642833e-16
1.0,0.00010078410030033662,1.0458300748425565e-16
1.0,0.00010078613182826043,1.0482146986197634e-16
1.0,0.00010078816343808583,1.0654641039881378e-16
1.0,0.00010079019512981777,1.0666579815409988e-16
1.0,0.00010079222690346121,1.0717996136670707e-16
1.0,0.00010079425875902108,1.0839045731555741e-16
1.0,0.00010079629069650237,1.0899589073576025e-16
1.0,0.00010079832271591,1.0906015284395725e-16
1.0,0.00010080035481724896,1.0942300892118761e-16
1.0,0.00010080238700052417,1.096913454334179e-16
1.0,0.00010080441926574061,1.1140469828572446e-16
1.0,0.00010080645161290323,1.137596601893625e-16
1.0,0.00010080848404201697,1.1684966956342473e-16
